date,open,high,low,close
2024-02-12 09:30:00,1.26256,1.26268,1.26235,1.2625
2024-02-12 09:35:00,1.2625,1.26274,1.2625,1.2627
2024-02-12 09:40:00,1.26269,1.26272,1.2621,1.26222
2024-02-12 09:45:00,1.26221,1.26232,1.2618,1.26212
2024-02-12 09:50:00,1.26212,1.26231,1.26208,1.26227
2024-02-12 09:55:00,1.26228,1.26229,1.2619,1.26213
2024-02-12 10:00:00,1.26212,1.2625,1.26212,1.26249
2024-02-12 10:05:00,1.2625,1.26259,1.26234,1.26239
2024-02-12 10:10:00,1.26238,1.26244,1.26223,1.26235
2024-02-12 10:15:00,1.26234,1.26239,1.26174,1.26175
2024-02-12 10:20:00,1.26174,1.26192,1.26164,1.2619
2024-02-12 10:25:00,1.26189,1.2622,1.26175,1.26218
2024-02-12 10:30:00,1.26218,1.26234,1.26205,1.26231
2024-02-12 10:35:00,1.2623,1.26253,1.26216,1.26228
2024-02-12 10:40:00,1.26228,1.26233,1.26214,1.26217
2024-02-12 10:45:00,1.26218,1.26222,1.26166,1.26196
2024-02-12 10:50:00,1.26196,1.26225,1.26194,1.26206
2024-02-12 10:55:00,1.26207,1.26227,1.26196,1.26225
2024-02-12 11:00:00,1.26226,1.26255,1.26224,1.26246
2024-02-12 11:05:00,1.26245,1.26248,1.26207,1.2622
2024-02-12 11:10:00,1.2622,1.26237,1.26202,1.26202
2024-02-12 11:15:00,1.26203,1.26204,1.26152,1.26156
2024-02-12 11:20:00,1.26156,1.26188,1.26156,1.26166
2024-02-12 11:25:00,1.26166,1.26174,1.26154,1.26166
2024-02-12 11:30:00,1.26165,1.26177,1.2615,1.26173
2024-02-12 11:35:00,1.26172,1.26202,1.2617,1.26186
2024-02-12 11:40:00,1.26186,1.2619,1.26127,1.26127
2024-02-12 11:45:00,1.26126,1.26142,1.26104,1.26108
2024-02-12 11:50:00,1.26109,1.2614,1.26102,1.26137
2024-02-12 11:55:00,1.26138,1.26169,1.26135,1.26158
2024-02-12 12:00:00,1.26158,1.2617,1.26109,1.2612
2024-02-12 12:05:00,1.2612,1.26162,1.2612,1.26157
2024-02-12 12:10:00,1.26157,1.26163,1.26146,1.26151
2024-02-12 12:15:00,1.26152,1.26171,1.26148,1.2617
2024-02-12 12:20:00,1.2617,1.26174,1.26142,1.26172
2024-02-12 12:25:00,1.26172,1.26178,1.26138,1.2614
2024-02-12 12:30:00,1.2614,1.26141,1.26108,1.26127
2024-02-12 12:35:00,1.26126,1.2613,1.26096,1.26118
2024-02-12 12:40:00,1.26118,1.26132,1.26094,1.26106
2024-02-12 12:45:00,1.26106,1.26129,1.26092,1.26129
2024-02-12 12:50:00,1.26128,1.26143,1.26101,1.2614
2024-02-12 12:55:00,1.2614,1.26162,1.2614,1.26151
2024-02-12 13:00:00,1.26152,1.26177,1.26152,1.26171
2024-02-12 13:05:00,1.26172,1.26186,1.26154,1.26168
2024-02-12 13:10:00,1.26168,1.26171,1.26156,1.26156
2024-02-12 13:15:00,1.26156,1.26164,1.26092,1.261
2024-02-12 13:20:00,1.26102,1.2611,1.26076,1.26081
2024-02-12 13:25:00,1.2608,1.26145,1.26077,1.26139
2024-02-12 13:30:00,1.2614,1.26146,1.26113,1.26143
2024-02-12 13:35:00,1.26142,1.26143,1.26087,1.26094
2024-02-12 13:40:00,1.26094,1.26137,1.26092,1.26118
2024-02-12 13:45:00,1.26118,1.2615,1.261,1.26124
2024-02-12 13:50:00,1.26123,1.26124,1.26074,1.2608
2024-02-12 13:55:00,1.2608,1.26122,1.26064,1.26094
2024-02-12 14:00:00,1.26094,1.2617,1.26094,1.26168
2024-02-12 14:05:00,1.26167,1.26189,1.2614,1.26146
2024-02-12 14:10:00,1.26147,1.26185,1.26136,1.26154
2024-02-12 14:15:00,1.26155,1.26162,1.26126,1.26159
2024-02-12 14:20:00,1.26158,1.26186,1.2614,1.26181
2024-02-12 14:25:00,1.26181,1.26189,1.26158,1.2618
2024-02-12 14:30:00,1.2618,1.26182,1.26123,1.2616
2024-02-12 14:35:00,1.2616,1.26221,1.26158,1.2622
2024-02-12 14:40:00,1.2622,1.26241,1.26198,1.26224
2024-02-12 14:45:00,1.26225,1.2624,1.262,1.26218
2024-02-12 14:50:00,1.26219,1.26258,1.26209,1.2625
2024-02-12 14:55:00,1.2625,1.26263,1.26224,1.26227
2024-02-12 15:00:00,1.26228,1.26236,1.26196,1.2622
2024-02-12 15:05:00,1.26219,1.26242,1.26188,1.26189
2024-02-12 15:10:00,1.26188,1.26189,1.26147,1.26157
2024-02-12 15:15:00,1.26156,1.26158,1.26118,1.2615
2024-02-12 15:20:00,1.2615,1.26202,1.26138,1.26161
2024-02-12 15:25:00,1.26162,1.26167,1.26123,1.2613
2024-02-12 15:30:00,1.26131,1.2615,1.2611,1.2615
2024-02-12 15:35:00,1.2615,1.26154,1.26126,1.26137
2024-02-12 15:40:00,1.26138,1.26168,1.26136,1.26159
2024-02-12 15:45:00,1.2616,1.2619,1.2611,1.26149
2024-02-12 15:50:00,1.26148,1.26156,1.2612,1.26153
2024-02-12 15:55:00,1.26156,1.26175,1.26147,1.26154
2024-02-12 16:00:00,1.26153,1.2621,1.26135,1.262
2024-02-12 16:05:00,1.26201,1.26228,1.26186,1.2622
2024-02-12 16:10:00,1.2622,1.26232,1.26196,1.2623
2024-02-12 16:15:00,1.2623,1.26248,1.26216,1.26247
2024-02-12 16:20:00,1.26246,1.26263,1.26237,1.2625
2024-02-12 16:25:00,1.2625,1.26288,1.26248,1.26278
2024-02-12 16:30:00,1.26279,1.26296,1.26266,1.26282
2024-02-12 16:35:00,1.26283,1.26312,1.26275,1.26312
2024-02-12 16:40:00,1.2631,1.26331,1.26307,1.26308
2024-02-12 16:45:00,1.26308,1.26327,1.26308,1.26322
2024-02-12 16:50:00,1.26321,1.26325,1.26273,1.26276
2024-02-12 16:55:00,1.26276,1.26288,1.26256,1.26286
2024-02-12 17:00:00,1.26286,1.26321,1.26285,1.26319
2024-02-12 17:05:00,1.2632,1.2634,1.26319,1.26332
2024-02-12 17:10:00,1.26332,1.26349,1.26316,1.26322
2024-02-12 17:15:00,1.26321,1.26322,1.2628,1.26292
2024-02-12 17:20:00,1.26292,1.26314,1.26288,1.26314
2024-02-12 17:25:00,1.26314,1.26347,1.26312,1.26339
2024-02-12 17:30:00,1.26338,1.2637,1.26336,1.26362
2024-02-12 17:35:00,1.26363,1.26374,1.26357,1.26362
2024-02-12 17:40:00,1.26362,1.26369,1.26349,1.26349
2024-02-12 17:45:00,1.26348,1.26358,1.26336,1.26357
2024-02-12 17:50:00,1.26358,1.26376,1.26357,1.26371
2024-02-12 17:55:00,1.2637,1.26399,1.26366,1.26397
2024-02-12 18:00:00,1.26396,1.26406,1.26375,1.26376
2024-02-12 18:05:00,1.26376,1.26388,1.26356,1.26388
2024-02-12 18:10:00,1.26388,1.264,1.26366,1.26367
2024-02-12 18:15:00,1.26368,1.26378,1.26362,1.26378
2024-02-12 18:20:00,1.26378,1.26386,1.26351,1.26352
2024-02-12 18:25:00,1.26352,1.26357,1.26322,1.26336
2024-02-12 18:30:00,1.26335,1.26346,1.2633,1.26342
2024-02-12 18:35:00,1.26342,1.26356,1.26331,1.26337
2024-02-12 18:40:00,1.26337,1.26362,1.26332,1.26342
2024-02-12 18:45:00,1.26342,1.26368,1.26337,1.26368
2024-02-12 18:50:00,1.26368,1.26398,1.26364,1.2638
2024-02-12 18:55:00,1.2638,1.26382,1.26342,1.26342
2024-02-12 19:00:00,1.26342,1.26372,1.26336,1.26371
2024-02-12 19:05:00,1.26372,1.26381,1.2636,1.26369
2024-02-12 19:10:00,1.2637,1.26378,1.2636,1.26369
2024-02-12 19:15:00,1.26368,1.2637,1.26332,1.26334
2024-02-12 19:20:00,1.26334,1.26343,1.2632,1.26333
2024-02-12 19:25:00,1.26334,1.26335,1.26298,1.26312
2024-02-12 19:30:00,1.26312,1.26316,1.2629,1.26293
2024-02-12 19:35:00,1.26293,1.26296,1.26286,1.26292
2024-02-12 19:40:00,1.26293,1.26295,1.26268,1.26268
2024-02-12 19:45:00,1.26267,1.26268,1.2624,1.26243
2024-02-12 19:50:00,1.26242,1.26244,1.26214,1.26244
2024-02-12 19:55:00,1.26244,1.26256,1.26237,1.26244
2024-02-12 20:00:00,1.26244,1.26284,1.26244,1.26282
2024-02-12 20:05:00,1.26283,1.26285,1.26273,1.26282
2024-02-12 20:10:00,1.2628,1.26294,1.26268,1.26282
2024-02-12 20:15:00,1.26283,1.26284,1.26268,1.26276
2024-02-12 20:20:00,1.26275,1.26284,1.26265,1.26267
2024-02-12 20:25:00,1.26268,1.26284,1.26264,1.26279
2024-02-12 20:30:00,1.2628,1.26284,1.2627,1.26283
2024-02-12 20:35:00,1.26282,1.26293,1.26271,1.26283
2024-02-12 20:40:00,1.26283,1.26293,1.26268,1.26272
2024-02-12 20:45:00,1.2627,1.26294,1.26266,1.26284
2024-02-12 20:50:00,1.26285,1.26302,1.26284,1.26288
2024-02-12 20:55:00,1.26287,1.26293,1.26282,1.2629
2024-02-12 21:00:00,1.2629,1.26294,1.26284,1.26293
2024-02-12 21:05:00,1.26293,1.26303,1.26291,1.26303
2024-02-12 21:10:00,1.26304,1.26312,1.263,1.26302
2024-02-12 21:15:00,1.26302,1.26312,1.263,1.26301
2024-02-12 21:20:00,1.26302,1.26304,1.26291,1.26302
2024-02-12 21:25:00,1.26304,1.26304,1.263,1.26302
2024-02-12 21:30:00,1.26302,1.26302,1.26285,1.26285
2024-02-12 21:35:00,1.26284,1.26285,1.2627,1.26271
2024-02-12 21:40:00,1.26272,1.26275,1.26268,1.26268
2024-02-12 21:45:00,1.26268,1.26272,1.26263,1.26271
2024-02-12 21:50:00,1.26272,1.26284,1.26258,1.26282
2024-02-12 21:55:00,1.26282,1.26284,1.26272,1.2628
2024-02-12 22:05:00,1.26285,1.26308,1.26285,1.26305
2024-02-12 22:10:00,1.26293,1.26296,1.26268,1.26283
2024-02-12 22:15:00,1.26282,1.26288,1.2628,1.26284
2024-02-12 22:20:00,1.26283,1.26288,1.26274,1.26275
2024-02-12 22:25:00,1.2628,1.26286,1.26264,1.26276
2024-02-12 22:30:00,1.26275,1.26287,1.26247,1.26276
2024-02-12 22:35:00,1.26274,1.26286,1.26265,1.26283
2024-02-12 22:40:00,1.26284,1.26294,1.26276,1.2628
2024-02-12 22:45:00,1.26276,1.26298,1.2627,1.26292
