<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.11.22	18:35:00	1.24621	1.24642	1.24610	1.24611	423	0	1
2023.11.22	18:40:00	1.24613	1.24661	1.24600	1.24661	360	0	1
2023.11.22	18:45:00	1.24662	1.24662	1.24591	1.24591	327	0	1
2023.11.22	18:50:00	1.24593	1.24605	1.24570	1.24593	291	0	1
2023.11.22	18:55:00	1.24591	1.24656	1.24583	1.24653	347	0	1
2023.11.22	19:00:00	1.24653	1.24693	1.24650	1.24687	343	0	1
2023.11.22	19:05:00	1.24685	1.24738	1.24680	1.24736	201	0	1
2023.11.22	19:10:00	1.24737	1.24775	1.24731	1.24772	197	0	1
2023.11.22	19:15:00	1.24768	1.24814	1.24768	1.24810	185	0	1
2023.11.22	19:20:00	1.24814	1.24835	1.24812	1.24828	146	0	1
2023.11.22	19:25:00	1.24830	1.24858	1.24815	1.24845	201	0	1
2023.11.22	19:30:00	1.24842	1.24848	1.24806	1.24833	168	0	1
2023.11.22	19:35:00	1.24833	1.24836	1.24792	1.24792	185	0	1
2023.11.22	19:40:00	1.24792	1.24803	1.24741	1.24746	158	0	1
2023.11.22	19:45:00	1.24751	1.24770	1.24731	1.24733	226	0	1
2023.11.22	19:50:00	1.24733	1.24792	1.24723	1.24774	183	0	1
2023.11.22	19:55:00	1.24772	1.24804	1.24756	1.24791	222	0	1
2023.11.22	20:00:00	1.24791	1.24843	1.24782	1.24794	157	0	1
2023.11.22	20:05:00	1.24795	1.24851	1.24795	1.24836	117	0	7
2023.11.22	20:10:00	1.24837	1.24902	1.24819	1.24895	132	0	7
2023.11.22	20:15:00	1.24895	1.24898	1.24837	1.24840	95	0	11
2023.11.22	20:20:00	1.24841	1.24880	1.24837	1.24879	118	0	7
2023.11.22	20:25:00	1.24878	1.24918	1.24872	1.24918	133	0	8
2023.11.22	20:30:00	1.24918	1.24934	1.24874	1.24894	99	0	10
2023.11.22	20:35:00	1.24894	1.24895	1.24861	1.24883	125	0	7
2023.11.22	20:40:00	1.24882	1.24882	1.24858	1.24869	91	0	8
2023.11.22	20:45:00	1.24870	1.24871	1.24847	1.24865	93	0	9
2023.11.22	20:50:00	1.24866	1.24879	1.24849	1.24849	91	0	8
2023.11.22	20:55:00	1.24849	1.24891	1.24849	1.24891	109	0	8
2023.11.22	21:00:00	1.24893	1.24917	1.24889	1.24901	162	0	9
2023.11.22	21:05:00	1.24901	1.24944	1.24899	1.24937	118	0	8
2023.11.22	21:10:00	1.24936	1.24936	1.24900	1.24906	139	0	7
2023.11.22	21:15:00	1.24906	1.24929	1.24906	1.24926	78	0	9
2023.11.22	21:20:00	1.24926	1.24927	1.24880	1.24886	58	0	4
2023.11.22	21:25:00	1.24887	1.24921	1.24887	1.24921	66	0	8
2023.11.22	21:30:00	1.24920	1.24936	1.24899	1.24899	78	0	8
2023.11.22	21:35:00	1.24898	1.24907	1.24834	1.24836	114	0	10
2023.11.22	21:40:00	1.24836	1.24877	1.24830	1.24877	95	0	9
2023.11.22	21:45:00	1.24878	1.24882	1.24856	1.24881	53	0	11
2023.11.22	21:50:00	1.24882	1.24907	1.24876	1.24907	67	0	9
2023.11.22	21:55:00	1.24906	1.24927	1.24895	1.24899	113	0	9
2023.11.22	22:00:00	1.24899	1.24902	1.24875	1.24901	67	0	10
2023.11.22	22:05:00	1.24902	1.24918	1.24893	1.24901	90	0	9
2023.11.22	22:10:00	1.24900	1.24901	1.24880	1.24889	77	0	9
2023.11.22	22:15:00	1.24889	1.24895	1.24874	1.24887	77	0	10
2023.11.22	22:20:00	1.24887	1.24935	1.24887	1.24926	75	0	7
2023.11.22	22:25:00	1.24921	1.24927	1.24909	1.24917	70	0	8
2023.11.22	22:30:00	1.24917	1.24937	1.24912	1.24937	45	0	8
2023.11.22	22:35:00	1.24936	1.24939	1.24926	1.24936	53	0	9
2023.11.22	22:40:00	1.24935	1.24937	1.24926	1.24929	60	0	9
2023.11.22	22:45:00	1.24927	1.24947	1.24922	1.24937	53	0	8
2023.11.22	22:50:00	1.24939	1.24939	1.24936	1.24939	24	0	9
2023.11.22	22:55:00	1.24939	1.24954	1.24937	1.24952	75	0	9
